topicid,type,qsid,qcount,qid,options,key,uid,ans,correct,mid,topicname,userid,user,name,group
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,451,17,0,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,451,21,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,451,25,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,451,30,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,451,35,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,451,40,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,451,42,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,451,46,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,451,51,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,451,53,0,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,451,57,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,451,61,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,451,67,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,451,70,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,451,73,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
